id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score,alasan_pemilihan
3,dish,nasi tim,120.0,2.4,0.4,26.0,tkpi,0.019999999833333334,0.003333333305555556,0.21666666486111114,5.9999850000374995,0.5963451439678276,Nasi lembek bergizi tinggi; penting sebagai kelas diet/MPASI.
14,dish,bayam rebus,23.0,1.2,0.6,3.7,tkpi,0.05217391077504736,0.02608695538752368,0.16086955822306268,1.9999966666722222,0.7559147810230028,Sayuran sehat yang sangat umum dikonsumsi; bayam rebus memiliki warna hijau gelap khas.
57,dish,gadogado,137.0,6.1,3.2,21.0,tkpi,0.04452554712025148,0.023357664063082744,0.1532846704139805,1.9062494042970608,0.7426447869600876,Salad Indonesia paling terkenal; campuran sayuran dengan saus kacang kuning sangat ikonik.
88,dish,ketoprak,153.0,7.9,7.7,13.0,tkpi,0.05163398659062754,0.050326797056687606,0.08496731970609595,1.0259738927306632,0.9142425541298501,"Ketoprak khas Jakarta; bihun, tahu, lontong dengan saus kacang dan kerupuk khas."
95,dish,rawon masakan,60.0,5.4,2.5,4.0,tkpi,0.08999999850000004,0.04166666597222224,0.06666666555555557,2.1599991360003457,0.9004912063398789,Kuah hitam pekat khas kluwek; sangat distinktif secara visual.
96,dish,rendang sapi masakan,193.0,22.6,7.9,7.8,tkpi,0.11709844498912723,0.04093264227496041,0.040414507562619134,2.860759131549477,0.818450743361832,Rendang adalah makanan Indonesia paling terkenal; warna coklat gelap dengan bumbu kering ikonik.
103,dish,sayur sop,27.0,1.3,2.0,1.0,tkpi,0.048148146364883466,0.07407407133058995,0.037037035665294975,0.6499996750001624,0.9025596504652982,"Sop sayur dengan wortel, kentang, buncis adalah lauk keseharian; kuah bening khas."
125,komponen,tomat merah segar,24.0,1.3,0.5,4.7,tkpi,0.054166664409722315,0.020833332465277812,0.19583332517361146,2.5999948000104,0.7198666608462019,Tomat segar sangat umum digunakan; warna merah bulat khas sebagai komponen/buah.
129,dish,wortel rebus,28.0,0.7,0.5,6.3,tkpi,0.024999999107142887,0.017857142219387778,0.224999991964286,1.3999972000055998,0.6415671972683387,Wortel rebus sering menjadi pelengkap menu; warna oranye cerah sangat mudah dikenali.
137,dish,kacang tanah goreng,564.0,25.5,44.4,25.5,tkpi,0.04521276587728233,0.07872340411573864,0.04521276587728233,0.5743243113890921,0.9066085383338522,Kacang tanah goreng camilan umum dan sering menjadi pelengkap; warna coklat keemasan khas.
158,dish,ayam goreng kentucky dada,298.0,34.2,16.8,0.1,tkpi,0.11476510028602316,0.05637583873699383,0.00033557046867258234,2.0357141645408237,0.7275490334398991,Ayam goreng tepung gaya KFC sangat populer; coating tepung keemasan sangat khas.
165,dish,bakwan,280.0,8.2,10.2,39.0,tkpi,0.029285714181122448,0.03642857129846939,0.13928571378826532,0.8039214898116187,0.7548508165707568,Bakwan populer sebagai gorengan; bulat gepeng keemasan dengan sayuran.
263,dish,keripik singkong,478.0,0.9,20.7,72.0,tkpi,0.0018828451843455121,0.04330543923994678,0.15062761474764097,0.04347825876916624,0.6799041173398359,Keripik singkong adalah camilan tradisional; potongan tipis singkong goreng krispi sangat khas.
277,dish,ketela pohonsingkong kukus,153.0,1.2,0.3,36.4,tkpi,0.007843137203639626,0.0019607843009099065,0.23790849517706866,3.9999866667111115,0.5564752714634398,Singkong kukus makanan pokok alternatif; tampilan putih dengan serat khas berbeda dari kentang.
